451975, Touch, 1578.891, 543.98804
452886, Fight, 1800
454604, Touch, 292.94678, 184.99878
456207, Drop, 153
457569, Touch, 196.94641, 436.0144
458460, Drop, 154
458544, Drop, 155
458952, Fight, 1810
459281, Fight, 1820
460702, Touch, 631.9629, 527.01416
461390, Fight, 1830
462564, Touch, 1368.9368, 974.9927
463040, Fight, 1840
463261, Fight, 1850
463726, Fight, 1860
465297, Touch, 1272.9364, 920.9729
465954, Fight, 1870
466400, Drop, 156
467498, Touch, 1064.9469, 940.979
467726, Fight, 1880
468308, Drop, 157
470401, Touch, 181.97388, 143.00903
471604, Fight, 1890
472191, Fight, 1900
474083, Touch, 1028.9044, 278.9978
474429, Drop, 158
474432, Drop, 159
475749, Touch, 1598.9447, 524.0149
476805, Drop, 160
477835, Touch, 849.9115, 813.98804
478326, Drop, 161
479832, Touch, 1149.9042, 1043.9758
480853, Drop, 162
480949, Drop, 163
482652, Touch, 1803.8855, 751.9922
483090, Fight, 1910
483871, Drop, 164
483963, Fight, 1920
484725, Drop, 165
486018, Touch, 1467.9181, 505.98633
486833, Drop, 166
488064, Touch, 1101.9379, 169.01367
488658, Fight, 1930
488842, Fight, 1940
489009, Fight, 1950
490571, Touch, 1706.9366, 217.00195
491738, Fight, 1960
492125, Drop, 167
494093, Touch, 530.9491, 308.0017
495078, Drop, 168
495079, Fight, 1970
496335, Touch, 1062.9144, 274.021
496472, Drop, 169
496560, Fight, 1980
497888, Touch, 479.93408, 445.0122
498841, Fight, 1990
500519, Touch, 29.945068, 842.99194
501568, Drop, 170
502779, Fight, 2000
504539, Touch, 622.9523, 595.00854
505146, Drop, 171
505228, Drop, 172
506682, Touch, 1159.931, 272.99927
507084, Drop, 173
508104, Touch, 1510.9387, 598.0078
508977, Drop, 174
510305, Touch, 801.9452, 123.00293
510856, Drop, 175
511139, Fight, 2010
512210, Touch, 1238.9264, 651.9946
512356, Drop, 176
513436, Touch, 977.95715, 1004.98535
514318, Drop, 177
514871, Touch, 977.95715, 1004.98535
515213, Drop, 178
516211, Touch, 798.96423, 636.9983
516217, Fight, 2020
517994, Touch, 885.954, 1055.9729
519089, Fight, 2030
520368, Touch, 1610.9363, 228.99902
522274, Touch, 1119.9591, 157.0166
523078, Drop, 179
524169, Touch, 1541.9, 283.0188
525241, Drop, 180
526989, Touch, 1213.927, 92.021484
527253, Fight, 2040
527872, Fight, 2050
529625, Touch, 2032.8772, 810.0
530587, Drop, 181
530590, Fight, 2060
532041, Drop, 182
533203, Touch, 1556.9403, 513.0066
533444, Fight, 2070
533642, Fight, 2080
534523, Drop, 183
536089, Touch, 1164.9445, 103.029785
536254, Fight, 2090
537030, Drop, 184
537031, Fight, 2100
537110, Fight, 2110
537111, Fight, 2120
538341, Touch, 841.9171, 619.99146
538728, Fight, 2130
538809, Fight, 2140
540241, Touch, 425.9381, 521.0156
541483, Fight, 2150
542738, Touch, 1329.9133, 845.00244
543175, Fight, 2160
544519, Touch, 1547.9297, 384.9939
545341, Fight, 2170
546411, Touch, 1136.9641, 1045.9863
547427, Drop, 185
549458, Touch, 51.9635, 830.0061
550374, Fight, 2180
551910, Fight, 2190
554230, Touch, 6.9781494, 446.98975
555684, Fight, 2200
556596, Drop, 186
556944, Drop, 187
558776, Touch, 1927.934, 950.99854
560010, Drop, 188
560092, Drop, 189
560426, Drop, 190
560513, Fight, 2210
561026, Drop, 191
562239, Touch, 1797.9236, 654.9939
562677, Drop, 192
562766, Fight, 2220
564135, Fight, 2230
565488, Touch, 1400.9143, 763.0005
565924, Fight, 2240
565927, Fight, 2250
567159, Touch, 584.94507, 401.01196
568140, Drop, 193
569244, Touch, 783.92395, 896.97876
569978, Drop, 194
569979, Fight, 2260
